best_makespan, current_makespan, current_temp, equal_count, first_op_moved, heuristic, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, prob_acceptance, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, times_moved, violates_constraint, worst_makespan, 
6371, 6376, 10.0, 0, False, P_AND_S, 82, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 15.0, , 13, 0, True, 26, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, P_AND_S, 83, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 81.0, , 3, 1, True, 25, 0.9, , True, 6686, 
6371, 6376, 10.0, 0, False, P_AND_S, 84, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 38.0, , 13, 1, True, 42, 0.9, , False, 6686, 
6371, 6376, 10.0, 0, False, P_AND_S, 85, 100, False, 0, 10.0, 4.5, right, , 50, 20, 20.0, 74.0, , 3, 1, True, 46, 0.9, , True, 6686, 
6371, 6444, 10.0, 0, False, P_AND_S, 86, 100, False, 1, 10.0, 4.5, left, , 50, 20, 20.0, 19.0, 0.0011137751478448032, 2, 0, False, 10, 0.9, , False, 6686, 
6371, 6914, 10.0, 0, False, P_AND_S, 87, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 15.0, 4.314762281641501e-24, 13, 0, False, 28, 0.9, , False, 6914, 
6371, 6682, 10.0, 0, False, P_AND_S, 88, 100, False, 0, 10.0, 4.5, right, , 50, 20, 20.0, 99.0, 5.1355723714802096e-14, 12, 1, False, 30, 0.9, , False, 6914, 
6371, 6376, 10.0, 0, False, P_AND_S, 89, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 1.0, , 1, 0, True, 44, 0.9, , True, 6914, 
6371, 6376, 10.0, 0, False, P_AND_S, 90, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 71.0, , 3, 1, True, 29, 0.9, , False, 6914, 
6371, 6376, 10.0, 0, False, P_AND_S, 91, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 25.0, , 14, 1, True, 14, 0.9, , False, 6914, 
6371, 6515, 10.0, 0, False, P_AND_S, 92, 100, False, 1, 10.0, 4.5, right, , 50, 20, 20.0, 52.0, 9.189813578979571e-07, 2, 0, False, 6, 0.9, , False, 6914, 
6371, 6549, 10.0, 0, False, P_AND_S, 93, 100, False, 0, 10.0, 4.5, left, , 50, 20, 20.0, 84.0, 3.066941294563555e-08, 3, 1, False, 19, 0.9, , False, 6914, 
6371, 6450, 10.0, 0, False, P_AND_S, 94, 100, False, 0, 10.0, 4.5, right, , 50, 20, 20.0, 72.0, 0.0006112527611295723, 11, 1, False, 15, 0.9, , False, 6914, 
6371, 6376, 10.0, 0, False, P_AND_S, 95, 100, False, 2, 10.0, 4.5, right, 2, 50, 20, 20.0, 27.0, , 13, 0, True, 30, 0.9, , False, 6914, 
6371, 6376, 10.0, 0, False, D_EXCHANGE, 96, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 50.0, , 8, 1, True, 17, 0.9, , False, 6914, 
6371, 6373, 10.0, 0, False, D_EXCHANGE, 97, 100, False, 1, 10.0, 4.5, right, 2, 50, 20, 20.0, 86.0, , 5, 1, True, 43, 0.9, , False, 6914, 
6371, 6373, 10.0, 0, False, D_EXCHANGE, 98, 100, False, 0, 10.0, 4.5, right, 2, 50, 20, 20.0, 96.0, , 10, 2, True, 28, 0.9, , False, 6914, 
6371, 6439, 10.0, 0, False, D_EXCHANGE, 99, 100, False, 0, 10.0, 4.5, right, 2, 50, 20, 20.0, 48.0, 0.0013603680375478939, 1, 2, False, 41, 0.9, , False, 6914, 
6297, 6297, 9.0, 0, , D_EXCHANGE, 0, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 5, 0, True, , 0.9, 28, False, 6914, 
6276, 6276, 10, 0, , REVERSE_SEQUENTIAL, 0, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 17, 0, True, , 0.9, 31, False, 6914, 
6230, 6230, 10, 0, , REVERSE_SEQUENTIAL, 31, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 12, 0, True, , 0.9, 15, False, 6914, 
6224, 6224, 10, 0, , REVERSE_SEQUENTIAL, 46, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 6, 0, True, , 0.9, 8, False, 6914, 
6163, 6163, 10, 0, , REVERSE_SEQUENTIAL, 54, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 4, 0, True, , 0.9, 25, False, 6914, 
6138, 6138, 10, 0, , REVERSE_SEQUENTIAL, 79, 100, , 0, 10.0, 4.5, , , 50, 20, 20.0, , , 16, 1, True, , 0.9, 42, False, 6914, 
6138, 6138, 9.0, 0, , REVERSE_SEQUENTIAL, 0, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 13, 0, True, , 0.9, 46, False, 6914, 
6104, 6104, 9.0, 0, , REVERSE_SEQUENTIAL, 46, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 3, 0, True, , 0.9, 8, False, 6914, 
6100, 6100, 9.0, 0, , REVERSE_SEQUENTIAL, 54, 100, , 1, 10.0, 4.5, , , 50, 20, 20.0, , , 12, 0, True, , 0.9, 22, False, 6914, 
6093, 6093, 9.0, 0, , REVERSE_SEQUENTIAL, 76, 100, , 0, 10.0, 4.5, , , 50, 20, 20.0, , , 6, 1, True, , 0.9, 39, False, 6914, 
6093, 6093, 8.1, 0|0|0|, False|False|False|, REVERSE_SEQUENTIAL, 0, 100, False|False|False|, 4|4|0|, 10.0, 4.5, left|right|right|, 13|8|17|, 50, 20, 20.0, 76.0|54.0|97.0|, , 9|4|1|, 9|4|17|, True, 42|27|7|, 0.9, , True|True|True|, 6914, 
6093, 6093, 8.1, 1|0|0|, False|False|False|, BEST, 3, 100, False|False|False|, 5|3|18|, 10.0, 4.5, left|left|right|, 33|17|25|, 50, 20, 20.0, 82.0|82.0|31.0|, , 10|9|14|, 27|14|7|, True, 48|20|20|, 0.9, , True|True|True|, 6914, 
6093, 6093, 8.1, 0|0|0|, False|False|False|, BEST, 6, 100, False|False|False|, 0|0|3|, 10.0, 4.5, left|right|left|, 4|1|6|, 50, 20, 20.0, 75.0|28.0|52.0|, , 18|7|6|, 4|1|3|, True, 9|46|12|, 0.9, , True|False|True|, 6914, 
6093, 6131, 8.1, 2|0|0|, False|False|False|, BEST, 9, 100, False|False|False|, 8|4|1|, 10.0, 4.5, left|left|right|, 13|6|1|, 50, 20, 20.0, 27.0|20.0|2.0|, 0.00917421887696532, 5|10|9|, 3|2|0|, False, 43|16|38|, 0.9, , True|True|False|, 6914, 
6093, 6380, 8.1, 0|0|0|, False|False|False|, BEST, 12, 100, False|False|False|, 13|1|9|, 10.0, 4.5, left|left|right|, 21|3|18|, 50, 20, 20.0, 30.0|81.0|63.0|, 4.09293666116104e-16, 8|19|9|, 8|2|9|, False, 47|7|4|, 0.9, , True|False|True|, 6914, 
6093, 6093, 8.1, 0|0|0|, False|False|False|, BEST, 15, 100, False|False|False|, 1|1|1|, 10.0, 4.5, left|left|right|, 3|4|1|, 50, 20, 20.0, 61.0|50.0|1.0|, , 4|1|6|, 2|3|0|, True, 16|45|48|, 0.9, , False|True|False|, 6914, 
6093, 6093, 8.1, 0|1|0|, False|False|False|, BEST, 18, 100, False|False|False|, 0|15|1|, 10.0, 4.5, right|left|right|, 1|26|19|, 50, 20, 20.0, 49.0|43.0|98.0|, , 15|19|13|, 1|10|18|, True, 45|42|27|, 0.9, , False|True|True|, 6914, 
6093, 6093, 8.1, 1|0|0|, False|False|False|, BEST, 21, 100, False|False|False|, 8|18|0|, 10.0, 4.5, left|left|right|, 12|19|1|, 50, 20, 20.0, 27.0|3.0|61.0|, , 5|12|6|, 3|1|1|, True, 43|21|47|, 0.9, , True|True|False|, 6914, 
6093, 6426, 8.1, 0|0|0|, False|False|False|, BEST, 24, 100, False|False|False|, 23|8|16|, 10.0, 4.5, left|right|right|, 35|10|26|, 50, 20, 20.0, 24.0|48.0|51.0|, 1.3985284305658635e-18, 10|11|11|, 12|2|10|, False, 38|27|17|, 0.9, , True|False|True|, 6914, 
6093, 6093, 8.1, 0|0|0|, False|False|False|, BEST, 27, 100, False|False|False|, 4|26|4|, 10.0, 4.5, right|left|right|, 25|29|11|, 50, 20, 20.0, 82.0|9.0|70.0|, , 15|12|7|, 21|3|7|, True, 16|48|10|, 0.9, , True|True|True|, 6914, 
