 > iteration=200, temp=7.29, curr= 21, best=16
 > iteration=201, temp=6.561, curr= 21, best=16
 > iteration=202, temp=6.561, curr= 21, best=16
 > iteration=203, temp=6.561, curr= 21, best=16
 > iteration=204, temp=6.561, curr= 21, best=16
 > iteration=205, temp=6.561, curr= 21, best=16
 > iteration=206, temp=6.561, curr= 16, best=16
 > iteration=207, temp=6.561, curr= 16, best=16
 > iteration=208, temp=6.561, curr= 21, best=16
 > iteration=209, temp=6.561, curr= 21, best=16
 > iteration=210, temp=6.561, curr= 21, best=16
 > iteration=211, temp=6.561, curr= 16, best=16
 > iteration=212, temp=6.561, curr= 16, best=16
 > iteration=213, temp=6.561, curr= 16, best=16
 > iteration=214, temp=6.561, curr= 16, best=16
 > iteration=215, temp=6.561, curr= 16, best=16
 > iteration=216, temp=6.561, curr= 16, best=16
 > iteration=217, temp=6.561, curr= 16, best=16
 > iteration=218, temp=6.561, curr= 16, best=16
 > iteration=219, temp=6.561, curr= 20, best=16
 > iteration=220, temp=6.561, curr= 21, best=16
 > iteration=221, temp=6.561, curr= 21, best=16
 > iteration=222, temp=6.561, curr= 21, best=16
 > iteration=223, temp=6.561, curr= 16, best=16
 > iteration=224, temp=6.561, curr= 21, best=16
 > iteration=225, temp=6.561, curr= 16, best=16
 > iteration=226, temp=6.561, curr= 20, best=16
 > iteration=227, temp=6.561, curr= 16, best=16
 > iteration=228, temp=6.561, curr= 21, best=16
 > iteration=229, temp=6.561, curr= 21, best=16
 > iteration=230, temp=6.561, curr= 21, best=16
 > iteration=231, temp=6.561, curr= 16, best=16
 > iteration=232, temp=6.561, curr= 16, best=16
 > iteration=233, temp=6.561, curr= 21, best=16
 > iteration=234, temp=6.561, curr= 21, best=16
 > iteration=235, temp=6.561, curr= 20, best=16
 > iteration=236, temp=6.561, curr= 20, best=16
 > iteration=237, temp=6.561, curr= 20, best=16
 > iteration=238, temp=6.561, curr= 20, best=16
 > iteration=239, temp=6.561, curr= 20, best=16
